context,from,to,weight
carers-week-2018,jenniej95408140,alzheimerssoc,1
wear-purple-for-jia-2018,tariqlabour,Ed_Miliband,1
national-dementia-carers-2018,pearson124,alzheimerssoc,1
nutrition-and-hydration-week-2018,bjgw,kldarrrock,1
time-to-talk-day-2018,katiaessery,FreshPlusGroup,1
epilepsy-awareness-purple-day-2018,brokenmister,Maddogfuel,1
stress-awareness-day,sophiekonstan,CrisisTextLine,1
16-days-of-action-2018,amiesdestella,KaraMCGillies,1
time-to-talk-day-2018,beingnikiholmes,DesignsInMind,1
cervical-cancer-prevention-week-2018,dmanortey,WomenDeliver,1
16-days-of-action-2018,slimqini,NthabeyK,1
ovarian-cancer-awareness-month-2018,sabinejessen,OvarianCancerUK,1
ovarian-cancer-awareness-month-2018,thetalentguru,StylistMagazine,1
brain-injury-week-2018,charlottew_rwk,RWK_PersInjury,1
dry-january-2018,sarelle777,31DOVER,1
16-days-of-action-2018,tturnermoore,Safer_Lives,1
mental-health-awareness-week-2018,coolmentoring,o_Ovonvon,3
national-dyslexia-week-2018,wonkhe,joanna_ball,1
mental-health-awareness-week-2018,mcrnightly,JamesMelville,1
carers-week-2018,carer49,HappyLittleHugh,1
jeans-for-genes-day,_rebeccadunne,VoiceOfIslamUK,1
wear-purple-for-jia-2018,nwacpsg,VersusArthritis,1
16-days-of-action-2018,izmirgibi_tr,GeziWoman_,1
jeans-for-genes-day,cgasparini95,SlaterHeelisLaw,1
carers-week-2018,johnwalsh88,Joanna_Rapson,1
ovarian-cancer-awareness-month-2018,harshkohli09,NHSEngland,1
ovarian-cancer-awareness-month-2018,momamima,FelicityBarrTV,1
dementia-action-week-2018,jayniebroughton,RamsdensFamily,1
epilepsy-awareness-purple-day-2018,22qawarenessday,22qAwarenessDay,1
ovarian-cancer-awareness-month-2018,docitfoundation,NOCC_National,2
ocd-awareness-week-2018,sylentbutdedly,lwbean,1
time-to-talk-day-2018,dyslexiagcc,seemescotland,1
stress-awareness-day,mrslauraolivia,Edu_Broker,1
elf-day,hunterlouise,nwater_care,1
ovarian-cancer-awareness-month-2018,davidagoodland,OvarianCancerUK,1
elf-day,priyankac_fan0,PCsDRAG0N,1
ovarian-cancer-awareness-month-2018,rbrosemer,SBellasWays,1
national-dyslexia-week-2018,mike_adama,MrWorkSmarter,1
brain-injury-week-2018,anson_mackay,NovumLaw,1
elf-day,hoolie5468,thesovrangroup,1
cervical-cancer-prevention-week-2018,hannah_travis1,grace_women,1
mens-health-week-2018,greyhealth,OgilvyHealthNA,1
brain-awareness-week-2018,kristaloveskale,OntarioBrain,1
elf-day,mehgnamathur,PCsDRAG0N,1
ocd-awareness-week-2018,hierodule,lwbean,1
wear-purple-for-jia-2018,chrissypttr,Ed_Miliband,1
mens-health-week-2018,worldhealthscot,VersusArthritis,1
national-dyslexia-week-2018,faratmani69,soundcube,1
elf-day,cumbriasellseek,TheosTaxis,1
mens-health-week-2018,jons_mk,HCATexas,1
no-smoking-day-2018,pcactus93,smarttoothpicks,1
national-dyslexia-week-2018,langteachersire,NessyLearning,1
brain-awareness-week-2018,marciasantossad,artthescience,1
mens-health-week-2018,coolmentoring,urbanfitnesstc,1
national-dementia-carers-2018,shelley__bright,CareQualityComm,1
national-dementia-carers-2018,angela_monaghan,alzheimerssoc,1
ovarian-cancer-awareness-month-2018,fionajgreen,StylistMagazine,1
16-days-of-action-2018,dan_soff,WRInitiative,1
epilepsy-awareness-purple-day-2018,knightmjaknight,OntarioNDP,1
stress-awareness-day,space_tonic,WoodlandTrust,1
mental-health-awareness-week-2018,euantennant1,JamesMelville,1
epilepsy-awareness-purple-day-2018,dcd728,gblagden,1
nutrition-and-hydration-week-2018,mynameisandyj,Kafoodle,1
elf-day,csheeran22,sophiemk_escort,1
epilepsy-awareness-purple-day-2018,swanstudentserv,gkelley_25,1
16-days-of-action-2018,homelessnessaus,CHPVic,1
mental-health-awareness-week-2018,kelliemcmanus18,JamesMelville,1
rare-disease-day-2018,merwilsonmda,MDAorg,1
carers-week-2018,ceo_pbuk,PennyBrohnUK,1
nutrition-and-hydration-week-2018,mynameisandyj,JazzVirkTweets,1
time-to-talk-day-2018,o_davies_,stephenfry,1
time-to-talk-day-2018,cffschroeder,CFTrustYouth,1
elf-day,clairespencer11,JodieRamsdens,1
mens-health-week-2018,coolmentoring,TaylorMade_NZ,1
brain-awareness-week-2018,consermovement,OldManStoneZone,1
rare-disease-day-2018,hmsalgebra,hms_mrsbooth,1
16-days-of-action-2018,allan_eve,DogsTrust,1
16-days-of-action-2018,officialgwda,GBVnet,1
national-dementia-carers-2018,traceyshrimpton,CareQualityComm,1
carers-week-2018,dtrhinke,henleymayor1,1
nutrition-and-hydration-week-2018,mynameisandyj,Dean2386,1
cervical-cancer-prevention-week-2018,manda10110,KingstonHospNHS,1
mens-health-week-2018,txgovtweets,teainfo,1
ocd-awareness-week-2018,recoverydoctor,RodriguezLabSU,1
stress-awareness-day,muppet1221,escfromreality,1
ovarian-cancer-awareness-month-2018,christystucker,wrappedupnu,1
rare-disease-day-2018,ed_owen,IanAustinMP,1
ocd-awareness-week-2018,malykhlg,lwbean,1
stress-awareness-day,mariatkeady,DubberTrevor,1
dementia-action-week-2018,lissanneoliver,SteliosKiosses,1
epilepsy-awareness-purple-day-2018,ebyzio,Bedroom_Ize,1
jeans-for-genes-day,xharrysangelsx,MrsAnneTwist,1
experience-of-care-week-2018,retireathomebg,susanwoolner,1
stress-awareness-day,fuzzydacious,MEActNetUK,1
mens-health-week-2018,2f488f65e8a24a0,MentalHealthAm,1
mens-health-week-2018,greatnptweets,SU2C,1
experience-of-care-week-2018,dr_whomever,uicfmr,1
elf-day,nursekerrianne,nurse_ant,1
no-smoking-day-2018,pharmacybtecl4,PSNCNews,1
national-dyslexia-week-2018,ndltd,Jisc,1
mental-health-awareness-week-2018,beccasm40640850,IntlBipolar,1
nutrition-and-hydration-week-2018,mynameisandyj,Scurran88,1
rare-disease-day-2018,andromeda0174,beatrizbecerrab,1
mnd-awareness-month-2018,alunowen6,NickGoldup1,1
ocd-awareness-week-2018,0becomingx,lwbean,1
epilepsy-awareness-purple-day-2018,bshanahanlib,LapointeLinda,1
mental-health-awareness-week-2018,samsgeekspace,JamesMelville,1
cervical-cancer-prevention-week-2018,lindahalsey2,CDC_Cancer,2
mnd-awareness-month-2018,colinrhardy,Vicky_100K4MNDA,1
stress-awareness-day,cyberberger,mentalhealth,1
epilepsy-awareness-purple-day-2018,johngrahamiv,AlexisBortell,1
mental-health-awareness-week-2018,tararitthaler,MissChants00,1
eating-disorder-awareness-week-2018,wheatcroft_dave,normanlamb,1
rare-disease-day-2018,celestialprollc,VABVOX,1
rare-disease-day-2018,philipwills0221,rarediseaseday,1
experience-of-care-week-2018,wkayle2014,VCHResearch,1
16-days-of-action-2018,lschwilling,umcjustice,1
brain-injury-week-2018,headwaylincs,RingroseLaw,1
eating-disorder-awareness-week-2018,drhollyknox,iaptustweets,1
16-days-of-action-2018,gcobber99,dvrcv,1
no-smoking-day-2018,timothybanks7,tenovuscancer,1
wear-purple-for-jia-2018,laceyjade100,Ed_Miliband,1
mens-health-week-2018,aurora4d,BathBridget,1
nutrition-and-hydration-week-2018,marialeveridge,SisterKatie1,1
elf-day,niclong87,Glanvilles,1
ovarian-cancer-awareness-month-2018,snunez_27,FelicityBarrTV,1
stress-awareness-day,vecta67,Edu_Broker,1
rare-disease-day-2018,nanarys,nagatayakyoto,1
epilepsy-awareness-purple-day-2018,dstampfly,GKTWVillage,1
national-dementia-carers-2018,elizabethmcqui3,emmabraz01,1
mental-health-awareness-week-2018,schuhpolitur,JamesMelville,1
elf-day,yugal_love,PCsDRAG0N,1
rare-disease-day-2018,hrothenb,TheGoldWaterUS,1
brain-awareness-week-2018,mnrajah,rosanna_olsen,1
16-days-of-action-2018,dvvic,CHPVic,1
dementia-action-week-2018,jr_merseycare,sarahbutchard,1
ocd-awareness-week-2018,specky_nerd,lwbean,1
national-dementia-carers-2018,hedgessdd,LabourSatvir,1
carers-week-2018,gemjryan,RoyalSurrey,1
no-smoking-day-2018,healthwatchlinc,LPFTNHS,1
nutrition-and-hydration-week-2018,mynameisandyj,kldarrrock,1
mens-health-week-2018,jimmcgrane2030,fox_fergal,1
ocd-awareness-week-2018,nerdy__crafter,lwbean,1
ocd-awareness-week-2018,candeequartz,lwbean,1
national-dyslexia-week-2018,nadsn_uk,martynsibley,1
eating-disorder-awareness-week-2018,tamara__fran,BeatEDSupport,1
stress-awareness-day,debrakearns40,Boots_Jobs,1
national-dementia-carers-2018,burno2012,CareQualityComm,1
elf-day,juanaloca2002,Lauren_C_Walker,1
rare-disease-day-2018,jenthequietone,RVAwonk,1
nutrition-and-hydration-week-2018,mynameisandyj,LancsIPC,1
brain-injury-week-2018,ashtonsfamily,JanetteWand,1
brain-injury-week-2018,headwayelondon,HeadwayUK,1
rare-disease-day-2018,debbieschenk,debraOfAmerica,1
nutrition-and-hydration-week-2018,ignasiagell,JodyDennisOT,1
elf-day,send345,VoucherLive,1
16-days-of-action-2018,lozanojennifer1,UN_Women,1
eating-disorder-awareness-week-2018,scocic,alex_staniforth,1
rare-disease-day-2018,burningsands29,RVAwonk,1
national-dyslexia-week-2018,barringtonstoke,BarringtonStoke,1
mens-health-week-2018,angelinaevans,Wellbeing_Suff,1
mental-health-awareness-week-2018,joshfscott1995,JamesMelville,1
no-smoking-day-2018,nlcyouthwork,LANDEDPeer,1
elf-day,op_entretaiment,LitterboxComics,1
nutrition-and-hydration-week-2018,tillyboss,kazsan77,1
ovarian-cancer-awareness-month-2018,toastycritic,SBellasWays,1
no-smoking-day-2018,dfrenchecch,SmokfreeNorfolk,1
mnd-awareness-month-2018,horwichnsc,boltonhospice,1
stress-awareness-day,edcookghs,CrisisTextLine,1
mens-health-week-2018,ladybird5477,MensHealthIRL,1
national-dyslexia-week-2018,synfutures,NHSuk,1
national-dementia-carers-2018,richardwebbny,srccg,1
jeans-for-genes-day,catavargas_5,MrsAnneTwist,1
rare-disease-day-2018,epiphvnyy,kalianefayepoet,1
carers-week-2018,evestesco,CarersTrust,1
elf-day,katiehampson333,Flaketweet,1
national-dyslexia-week-2018,gabriellee18,MadeByDyslexia,1
nutrition-and-hydration-week-2018,ailsabrotherton,EarleyTracy,1
mental-health-awareness-week-2018,camjuliette,JamesMelville,1
no-smoking-day-2018,ableestates,LBofBexley,1
cervical-cancer-prevention-week-2018,lozenge11,Scouse_ma,1
cervical-cancer-prevention-week-2018,csp_allegcattco,CDC_Cancer,1
epilepsy-awareness-purple-day-2018,_sammiowen,MMECEdinburgh,1
stress-awareness-day,mrsvcastle,nhsemployers,1
cervical-cancer-prevention-week-2018,gyncsm,CDC_Cancer,1
ovarian-cancer-awareness-month-2018,smerv,karenluMD,1
no-smoking-day-2018,andrewgriffith4,UK_Hypnotherapy,1
no-smoking-day-2018,auntiedora1,nidirect,1
carers-week-2018,marie_mndani,mndassoc,1
mental-health-awareness-week-2018,ohmygoshbre,depressionarmy,1
national-dementia-carers-2018,carequalitycomm,CareQualityComm,1
wear-purple-for-jia-2018,jenniej95408140,matt_nras,1
mnd-awareness-month-2018,jaynes__world,alex_morty,1
brain-awareness-week-2018,dlhale310,FENSorg,1
16-days-of-action-2018,stan_clef,TheGirlGen,1
elf-day,leigheff,thesovrangroup,1
16-days-of-action-2018,tallgrey,UN_Women,1
national-dementia-carers-2018,barboseac,DFHorsforth,1
carers-week-2018,happylittlehugh,Carer49,1
elf-day,drjude_g,rdash_nhs,5
brain-awareness-week-2018,mssocietymb,MSSocietyCanada,1
brain-injury-week-2018,lblawpi,Headwayshrop,1
ovarian-cancer-awareness-month-2018,idickson258,TargetOvarian,1
mental-health-awareness-week-2018,libbyyyphillips,JamesMelville,1
brain-awareness-week-2018,comunitaqueenit,brianmaycom,1
cervical-cancer-prevention-week-2018,sarasalmon_utah,SaludAmerica,1
dry-january-2018,ryanelliott1701,31DOVER,1
jeans-for-genes-day,fluffers_,MrsAnneTwist,1
mens-health-week-2018,reavincedomrea,mhall55nine,1
ocd-awareness-week-2018,bazcharleton,IOCDF,1
16-days-of-action-2018,in_pjsdwnstairs,UN_Women,1
elf-day,binbirakesh,thesovrangroup,1
16-days-of-action-2018,ckatrib,lav__k,1
mens-health-week-2018,atoddlegacy,MindHealthBC,1
mens-health-week-2018,percyl32,TheHPRA,1
nutrition-and-hydration-week-2018,rbiltcliffe,lm_nicholson,1
stress-awareness-day,msjll,CSPD_HSE,1
dementia-action-week-2018,southendfun,SouthendRPiJams,2
16-days-of-action-2018,project9phoenix,WFP,1
no-smoking-day-2018,stopsmokinger1,HumberNHSFT,1
mental-health-awareness-week-2018,mohaircashmere,comicrelief,1
time-to-talk-day-2018,sergeanthoppy,TimetoChange,1
cervical-cancer-prevention-week-2018,izzykacz,Roche,1
elf-day,kazweedon,thesovrangroup,1
time-to-talk-day-2018,dunkeld0,2020Comms,1
dry-january-2018,kategarraway_uk,kategarraway,1
national-dyslexia-week-2018,crispriestley,BarringtonStoke,1
mnd-awareness-month-2018,gaskellallison,NickGoldup1,1
stress-awareness-day,frank_marisa,mercola_espanol,1
national-dementia-carers-2018,suzanneshoker1,alzheimerssoc,1
rare-disease-day-2018,melanierose,HealAlexis,1
elf-day,pauls_taxi,ForestFriends_,1
time-to-talk-day-2018,novstormbringer,The_UnSilent_,1
no-smoking-day-2018,healthybanes,RUHBath,1
brain-awareness-week-2018,joeb202,OldManStoneZone,1
carers-week-2018,helenmarycymru,wgdep_health,1
ovarian-cancer-awareness-month-2018,linda_11_s,FelicityBarrTV,1
nutrition-and-hydration-week-2018,jobe40,Rich_Crompton,1
time-to-talk-day-2018,nina83h,stephenfry,1
eating-disorder-awareness-week-2018,margejenny,syeda2628,1
rare-disease-day-2018,key_karols_mom,RareDiseases,1
elf-day,alzsocwmidlands,HOW_College,1
national-dementia-carers-2018,lemsonjase,alzheimerssoc,1
experience-of-care-week-2018,sathnhs,JulesLewis6,1
wear-purple-for-jia-2018,capsienair,Ed_Miliband,1
rare-disease-day-2018,iamshort2015,TheGoldWaterUS,1
stress-awareness-day,bccreations1,dkbooks,1
mnd-awareness-month-2018,kingste29344921,Vicky_100K4MNDA,1
jeans-for-genes-day,cristhel_monet,MrsAnneTwist,1
nutrition-and-hydration-week-2018,mynameisandyj,Catrin193,1
nutrition-and-hydration-week-2018,helencr12866349,rosalind2412,1
mental-health-awareness-week-2018,redsonjabelit,JamesMelville,1
epilepsy-awareness-purple-day-2018,fundraisingyes,newsjenny,1
wear-purple-for-jia-2018,charl_lowe1,LittleStars2008,1
mens-health-week-2018,djamesgreenway,BRDBeyondRepair,1
ocd-awareness-week-2018,rosangohar,lwbean,1
16-days-of-action-2018,carlachrisellis,ScottishSPCA,1
jeans-for-genes-day,bleberfthoran,MrsAnneTwist,1
no-smoking-day-2018,turningpointuk,DAWS_London,1
nutrition-and-hydration-week-2018,gillianlowrey,RdhRespiratory,1
nutrition-and-hydration-week-2018,mynameisandyj,DerbyUrgentCare,1
ovarian-cancer-awareness-month-2018,federicoprefumo,BJOGTweets,1
national-dyslexia-week-2018,tjamesness,DriverTrust,1
cervical-cancer-prevention-week-2018,stefananastase3,KingstonHospNHS,1
jeans-for-genes-day,dimmockdavid,jorisveltman,1
brain-awareness-week-2018,eduardo32356827,brianmaycom,1
ocd-awareness-week-2018,purpledomm,OCDUK,1
brain-awareness-week-2018,healthtechhtc,healthtechdist,1
dementia-action-week-2018,suzieclown,heartsmindsUK,1
brain-injury-week-2018,roanfair,ColesMillerLLP,1
no-smoking-day-2018,aphcv,FDATobacco,1
16-days-of-action-2018,tracieedward,ETFOeducators,1
dementia-action-week-2018,theprdoctoruk,celesiouk,1
no-smoking-day-2018,ppsswebsite1,ncnhswellbeing,1
dementia-action-week-2018,doryitsme,ElaineFerris2,1
elf-day,pranav1490,PCsDRAG0N,1
stress-awareness-day,mrbenvirgo,NHMFOfficial,1
brain-injury-week-2018,mind_cheats,Celine_YT,1
stress-awareness-day,joannakingstond,JacksonLeesLaw,1
national-dyslexia-week-2018,danielbakey,1066beth0,1
carers-week-2018,gallusgirl,lisaj_uk,1
dementia-action-week-2018,shoutprsh,FremantleTrust,1
dementia-action-week-2018,sugarloaf147,TitaniumTester,1
epilepsy-awareness-purple-day-2018,fundaciondravet,GreenwichBio,1
16-days-of-action-2018,sarahro32309100,SFHFT,1
brain-injury-week-2018,headwaylincs,NRaynsford,1
16-days-of-action-2018,becauseimamanzw,UN_Women,2
stress-awareness-day,datgirlwholived,TerriIrwin,1
time-to-talk-day-2018,_a__dub,The_UnSilent_,1
nutrition-and-hydration-week-2018,nhscreed,saralivadeas,1
dry-january-2018,alifewise,dryjanuary,1
16-days-of-action-2018,cscviews,dvrcv,1
brain-injury-week-2018,shephard_sam,HyphenLaw,1
cervical-cancer-prevention-week-2018,gyncsm,SaludAmerica,1
time-to-talk-day-2018,drwigfall,ZoeSugg,1
brain-awareness-week-2018,david74656,WorldMSDay,1
eating-disorder-awareness-week-2018,kittycormack,OUPPsychology,1
mens-health-week-2018,indienoises,PalestDame,1
16-days-of-action-2018,glfaren,ZontaIntl,1
national-dementia-carers-2018,michelleproudma,CareQualityComm,1
jeans-for-genes-day,laugdebs,MrsAnneTwist,1
nutrition-and-hydration-week-2018,marialeveridge,CwmTafDietetics,1
brain-awareness-week-2018,maradierssen,LuminousEU,1
national-dyslexia-week-2018,cosfordfamily1,tes,1
jeans-for-genes-day,jeanhurls,wrigleyclaydon,1
eating-disorder-awareness-week-2018,cbeechat,beeing_sophie,1
dry-january-2018,highlandgirl,DrinkTg,1
national-dyslexia-week-2018,gus_and_lucy,magdaolchawska,1
carers-week-2018,familywork123,carersweek,1
elf-day,s9tmt,Laura_Tierney87,1
stress-awareness-day,usciencesshac,CrisisTextLine,1
mental-health-awareness-week-2018,roxo_estrela,AnneMarie,1
brain-awareness-week-2018,bkindngood,US_FDA,1
time-to-talk-day-2018,pitcher_lise,taramc19,1
16-days-of-action-2018,rosiemilner1,DogsTrust,1
time-to-talk-day-2018,promderby2,PochatTraining,3
elf-day,georginashiers,SelkirkHouse,1
ovarian-cancer-awareness-month-2018,purehomecare,NHSEngland,1
cervical-cancer-prevention-week-2018,jilyylou,KingstonHospNHS,1
national-dementia-carers-2018,abigailaukl,alzheimerssoc,1
time-to-talk-day-2018,frances_email,2020Comms,1
cervical-cancer-prevention-week-2018,bcmcancer,BCMHouston_News,1
cervical-cancer-prevention-week-2018,emmalouise1_xxx,eveappeal,1
ocd-awareness-week-2018,flyingterra,lwbean,1
rare-disease-day-2018,heidigritt,cgritt12,1
wear-purple-for-jia-2018,drgsalg,JagtarNijjar,1
jeans-for-genes-day,drivetime_sk1,VoiceOfIslamUK,1
ovarian-cancer-awareness-month-2018,mylatinatable,christystucker,1
national-dementia-carers-2018,nialiversuch,alzheimerssoc,1
cervical-cancer-prevention-week-2018,drcarolineg,GP_Update,1
national-dementia-carers-2018,hillingdoncarer,alzheimerssoc,1
mental-health-awareness-week-2018,burpbbpy,depressionarmy,1
eating-disorder-awareness-week-2018,artisans_jw,YoungMindsUK,1
jeans-for-genes-day,chloelynn0305,MrsAnneTwist,1
brain-injury-week-2018,lblawpi,HeadwayUK,1
brain-injury-week-2018,olivermitchard,HeadwayBristol,1
rare-disease-day-2018,dlv123061,KidneyPatients,2
experience-of-care-week-2018,jasmineevazquez,SFMontenegro,1
stress-awareness-day,1986celtics,DogsTrust,1
mental-health-awareness-week-2018,ameliakosminsky,JamesMelville,1
ocd-awareness-week-2018,sotiroullaleon,ocdaction,1
mens-health-week-2018,croydon_nras,VersusArthritis,1
wear-purple-for-jia-2018,khp_oc94,Ed_Miliband,1
epilepsy-awareness-purple-day-2018,johangreg,BardishKW,1
brain-injury-week-2018,drpas84ele,aneinternationa,1
wear-purple-for-jia-2018,jia_matters,CapsieNair,1
mental-health-awareness-week-2018,ap_dowell,TimetoChange,1
epilepsy-awareness-purple-day-2018,mmfay6,jackietrad,1
dry-january-2018,mummy2arockstar,ChocTradingCo,1
eating-disorder-awareness-week-2018,gailfarrelly,LindaLeeKing,1
experience-of-care-week-2018,sasanof,jasonawolf,1
carers-week-2018,carer49,lisaj_uk,1
jeans-for-genes-day,whisperslarrie,MrsAnneTwist,1
epilepsy-awareness-purple-day-2018,matsunaga_hirot,m_y_m_y_31,1
no-smoking-day-2018,cofegan_88,publichealthni,1
ovarian-cancer-awareness-month-2018,supriadi_herdi,BethFratesMD,1
jeans-for-genes-day,guccishouis,MrsAnneTwist,1
mens-health-week-2018,mayosport1,sportireland,2
eating-disorder-awareness-week-2018,zsnowela,YoungMindsUK,1
stress-awareness-day,barbaramcnaugh1,WoodlandTrust,1
eating-disorder-awareness-week-2018,lilgiraff_e,therapypugalfie,1
jeans-for-genes-day,alicedixi,MrsAnneTwist,1
nutrition-and-hydration-week-2018,earleytracy,kazsan77,1
nutrition-and-hydration-week-2018,mynameisandyj,WhippsDietitian,4
16-days-of-action-2018,drmjcwarren,ProjShiloh,1
jeans-for-genes-day,ingriddamassa,MrsAnneTwist,1
rare-disease-day-2018,osteoclark,BrittleBoneUK,1
experience-of-care-week-2018,natasharolls1,UHBristolNHS,1
ovarian-cancer-awareness-month-2018,daisylu1964,FelicityBarrTV,1
mental-health-awareness-week-2018,frankie13db,JamesMelville,1
no-smoking-day-2018,orpingtonhypno,UK_Hypnotherapy,1
national-dyslexia-week-2018,carolannebush,thinkpix_suze,1
cervical-cancer-prevention-week-2018,drtessthompson,SitemanCenter,1
mental-health-awareness-week-2018,ishtashute,JamesMelville,1
ocd-awareness-week-2018,mfilippoufrye,RodriguezLabSU,1
nutrition-and-hydration-week-2018,aliahpdem,lynnekstevenson,1
epilepsy-awareness-purple-day-2018,ebyzio,ThomasRandActor,1
mnd-awareness-month-2018,liampdwyer,NickGoldup1,1
epilepsy-awareness-purple-day-2018,epilepsyswo,Mix965HFX,1
brain-awareness-week-2018,michjas4,NIDAnews,1
national-dementia-carers-2018,karenla46426669,CareQualityComm,1
brain-awareness-week-2018,eaneurology,neuroscience,1
carers-week-2018,s9tmt,JaneDanforth,1
jeans-for-genes-day,x_ney_x,MrsAnneTwist,1
stress-awareness-day,trickyd90556041,Pinkribbonmark2,1
elf-day,vdelsol_es,IOjeda_VDSES,1
stress-awareness-day,finalfamilyhome,mentalhealth,1
stress-awareness-day,ms_raile,CrisisTextLine,1
rare-disease-day-2018,alanschenkel,RareDiseases,1
epilepsy-awareness-purple-day-2018,cpwoodley,epilepsyaction,1
cervical-cancer-prevention-week-2018,komenpugetsound,CDC_Cancer,1
16-days-of-action-2018,hayleyfoster82,AWAVA_women,1
elf-day,dorset_hour,ColesMillerLLP,1
ocd-awareness-week-2018,_inaris,lwbean,1
carers-week-2018,jlccmg,HappyLittleHugh,1
wear-purple-for-jia-2018,sewmesomething,harryt68,1
rare-disease-day-2018,__wrench__,bstevenswriter,1
16-days-of-action-2018,becauseimamanzw,UNICEFZIMBABWE,1
brain-injury-week-2018,bodagallon,cumpstonarchive,1
dementia-action-week-2018,brazlaw,RoydsWithyKing,1
national-dementia-carers-2018,nynykazowen,alzheimerssoc,1
experience-of-care-week-2018,rbhcarecrew,Herrings18,1
ocd-awareness-week-2018,jinxxjams,lwbean,1
mnd-awareness-month-2018,runwithms,Moz0373Runner,1
eating-disorder-awareness-week-2018,fletcher_nathan,elliesmiith_,1
wear-purple-for-jia-2018,misscrazynhs,Ed_Miliband,1
eating-disorder-awareness-week-2018,jackspencerr3,axhlee_,1
ocd-awareness-week-2018,doddleblack,lwbean,1
brain-awareness-week-2018,elizabeth_model,healthtechdist,1
cervical-cancer-prevention-week-2018,addiem24,dublinwellwoman,1
16-days-of-action-2018,26pglt,womensart1,1
rare-disease-day-2018,marckydi,WishlistPJ,1
national-dementia-carers-2018,drnkupeli,alzheimerssoc,1
ovarian-cancer-awareness-month-2018,juliemarionmac,FelicityBarrTV,1
stress-awareness-day,pgollagher,LeosDiaries,1
eating-disorder-awareness-week-2018,drwrjones,nchawkes,1
nutrition-and-hydration-week-2018,tillyboss,mynameisAndyJ,1
16-days-of-action-2018,theaihub,durhamcollege,1
national-dementia-carers-2018,suzanneshoker1,DFHorsforth,1
ovarian-cancer-awareness-month-2018,bachflowers4all,fkmunro,1
eating-disorder-awareness-week-2018,jenniedrabble,nchawkes,1
time-to-talk-day-2018,rats_inthepark,linda_phoenix,1
wear-purple-for-jia-2018,insa_mrwe,samjc1976,1
national-dyslexia-week-2018,mccarrenbill,Secretsend2,1
mental-health-awareness-week-2018,ellieroof,JamesMelville,1
wear-purple-for-jia-2018,sirpaget,Ninayeban,1
eating-disorder-awareness-week-2018,gemmyred,jamesldowns,2
nutrition-and-hydration-week-2018,cwmtafpodiatry,CwmTafDietetics,1
cervical-cancer-prevention-week-2018,kumakullo,MayoCancerCare,1
rare-disease-day-2018,beachydreamer,ChronicPainDad,1
epilepsy-awareness-purple-day-2018,crrosenstiel,LibDems,1
ovarian-cancer-awareness-month-2018,cjnaples6606,houseofhenry,1
16-days-of-action-2018,fatima_badri,AuwGrace,1
elf-day,_globalbeauty,sophiemk_escort,1
eating-disorder-awareness-week-2018,mel_f_lem,PennyRed,1
mental-health-awareness-week-2018,chloevardy1,allontheboard,1
rare-disease-day-2018,hampson_katie,ThumbiMwangi,1
nutrition-and-hydration-week-2018,uhl_dietitians,suziwoodhouse,1
no-smoking-day-2018,michaela_toms,LancashireCare,1
mens-health-week-2018,margaret_joseph,SeriousImpactUK,1
stress-awareness-day,tracieedward,WHSCtraining,1
mental-health-awareness-week-2018,eley01,1madwoman1962,1
dementia-action-week-2018,nans4grans,GlofendCom,1
mental-health-awareness-week-2018,hailstormy,JamesMelville,1
national-dementia-carers-2018,ponterhino,alzheimerssoc,1
cervical-cancer-prevention-week-2018,valerie_akuchie,efferentCARES,1
time-to-talk-day-2018,jrad1014hi,The_UnSilent_,1
rare-disease-day-2018,kandigirl50,TakedaOncology,1
16-days-of-action-2018,christi29354231,DogsTrust,1
elf-day,priyank70209494,PCsDRAG0N,1
16-days-of-action-2018,everydayprevent,lynseyjfenners,1
jeans-for-genes-day,aga_082102,MrsAnneTwist,1
nutrition-and-hydration-week-2018,eenttheatres,ageukwc2,1
brain-awareness-week-2018,nerdlabpete,APAPubPsychSvcs,1
mens-health-week-2018,coolmentoring,EndocrineCenter,1
elf-day,orangetreepriv1,alzheimerssoc,1
mnd-awareness-month-2018,laurapye,MNDeventsPlym,1
dementia-action-week-2018,taylordawn55,VITalkPodcast,1
mens-health-week-2018,hayscontcoord,teainfo,1
elf-day,steven05280627,VoucherLive,1
national-dementia-carers-2018,mrjkh90,alzheimerssoc,1
16-days-of-action-2018,iwasleftbehind,WakawaSaratu,1
jeans-for-genes-day,fibroflutters,ehlersdanlosuk,1
brain-awareness-week-2018,luisb,OxNeuro,1
brain-awareness-week-2018,innovativemeds,RocheCanada,1
ovarian-cancer-awareness-month-2018,rmaryk090976,BethFratesMD,1
stress-awareness-day,urban_creations,PerennialGRBS,1
mnd-awareness-month-2018,charitybegin3,DavinaRivers,1
brain-injury-week-2018,jackiecdean,UKABIF,1
16-days-of-action-2018,_elbachir_,UNFPASierraleon,1
nutrition-and-hydration-week-2018,mynameisandyj,RchtDietitians,1
carers-week-2018,mm4ak,HappyLittleHugh,1
dementia-action-week-2018,colnbrookca,SloughCouncil,1
wear-purple-for-jia-2018,g1magee,samjc1976,1
mental-health-awareness-week-2018,brist75,JamesMelville,1
national-dyslexia-week-2018,sunnyside_judy,dyslexiauk,1
mnd-awareness-month-2018,lenabyrne,jampips,1
mens-health-week-2018,vennhealthcare,Londonbackpain1,1
nutrition-and-hydration-week-2018,mynameisandyj,CareNewsUK,1
